operation,operand_1,operand_2
SUB,199,565
SUM,551,256
SUB,636,226
SUM,664,280
SUB,368,953
POW,248,378
SUB,242,992
DIV,460,331
POW,354,356
MUL,535,322
DIV,506,839
POW,769,709
DIV,612,757
DIV,985,293
SUB,446,458
DIV,965,373
DIV,379,704
SUM,878,358
POW,492,343
SUM,388,585
POW,917,894
SUM,349,696
SUM,462,148
SUB,294,397
POW,497,329
MUL,504,283
MUL,396,812
DIV,625,114
POW,463,992
MUL,449,935
MUL,404,522
MUL,77,10
MUL,477,135
DIV,841,380
SUM,732,221
POW,974,952
SUM,927,312
DIV,346,834
DIV,243,597
POW,292,749
POW,942,59
DIV,774,827
POW,672,289
SUB,43,949
SUB,652,122
SUB,681,932
SUM,53,194
DIV,965,491
POW,112,298
MUL,297,199
DIV,331,702
DIV,194,221
SUM,189,665
SUB,394,651
MUL,267,835
POW,346,211
SUB,823,538
MUL,328,436
SUM,500,64
POW,799,390
DIV,594,512
SUB,823,295
DIV,828,599
SUB,974,647
DIV,689,106
MUL,824,946
DIV,945,377
MUL,105,224
SUB,550,373
SUM,586,467
POW,900,74
DIV,69,398
MUL,225,591
SUM,416,974
SUB,89,148
DIV,154,681
SUB,299,41
DIV,631,16
MUL,841,110
SUB,438,781
SUB,548,866
SUM,503,25
POW,408,82
MUL,902,246
SUB,876,984
SUM,792,336
MUL,64,381
MUL,834,71
MUL,381,924
POW,440,197
SUB,709,385
MUL,612,478
DIV,801,517
MUL,157,303
MUL,627,507
DIV,425,268
SUB,224,138
SUM,988,726
SUM,196,476
MUL,891,175
POW,69,705
SUM,426,318
MUL,818,179
DIV,467,781
SUB,335,623
MUL,293,4
MUL,250,754
SUM,818,213
SUB,292,192
SUM,66,929
POW,734,707
SUM,843,290
MUL,690,137
POW,610,87
SUB,15,178
SUM,623,92
MUL,683,748
MUL,32,43
SUB,638,786
SUB,638,329
POW,223,200
MUL,975,964
SUM,213,126
SUB,929,615
POW,904,950
SUM,656,345
SUB,608,208
DIV,597,397
SUB,709,718
DIV,901,510
MUL,314,928
SUM,679,538
DIV,397,943
SUB,630,617
MUL,788,895
DIV,823,771
SUM,910,483
DIV,582,29
DIV,57,785
SUM,826,763
POW,100,355
SUB,650,408
POW,935,417
MUL,104,144
MUL,657,883
POW,86,668
DIV,182,204
SUM,988,954
DIV,380,200
POW,971,758
POW,275,750
POW,487,336
SUM,179,340
POW,118,320
DIV,726,908
SUM,582,594
SUM,268,308
POW,713,976
DIV,164,815
SUB,417,802
MUL,863,609
SUB,158,678
SUM,852,735
SUM,703,235
POW,296,311
SUB,265,208
MUL,341,350
SUM,155,135
SUM,532,833
DIV,105,52
SUM,69,510
SUM,812,796
MUL,210,394
SUM,426,324
POW,463,98
SUB,736,534
SUB,994,560
DIV,621,609
SUB,533,35
DIV,517,930
MUL,319,57
POW,99,143
MUL,545,797
SUB,129,20
POW,737,570
SUM,554,250
MUL,574,270
DIV,918,647
DIV,174,332
DIV,567,900
POW,986,200
DIV,327,786
DIV,753,592
DIV,215,16
SUM,794,56
POW,308,866
MUL,581,463
DIV,130,182
SUB,874,722
SUM,71,264
POW,425,186
DIV,991,808
SUM,67,59
POW,436,492
SUM,883,593
SUB,811,490
DIV,645,72
SUM,315,969
SUB,146,416
SUM,515,181
DIV,453,723
POW,798,727
SUB,425,734
MUL,470,968
POW,672,27
SUB,8,634
POW,319,584
DIV,392,65
SUB,516,875
POW,275,451
MUL,303,206
DIV,26,518
SUB,890,932
MUL,270,896
MUL,89,134
DIV,643,380
MUL,439,985
POW,963,95
SUB,916,293
SUB,783,929
DIV,311,329
DIV,257,24
DIV,177,498
SUM,293,37
POW,939,640
POW,675,518
POW,637,436
SUB,201,289
SUB,750,576
POW,943,585
POW,598,934
SUB,983,932
DIV,313,403
SUB,754,548
MUL,317,861
SUM,27,91
DIV,313,883
SUM,554,866
POW,707,180
MUL,371,487
SUM,921,131
MUL,786,432
DIV,587,510
SUM,886,639
SUB,967,361
SUB,935,611
POW,348,973
DIV,13,247
POW,784,748
SUM,414,914
POW,458,344
MUL,118,185
MUL,923,422
MUL,689,692
SUB,476,793
SUB,35,523
POW,37,916
SUM,96,513
MUL,750,181
SUB,828,608
SUM,644,150
DIV,119,10
MUL,715,627
MUL,811,425
DIV,154,215
POW,602,536
SUM,738,644
SUB,253,489
MUL,413,863
SUB,268,985
SUB,552,506
SUB,643,773
MUL,699,626
SUB,801,583
DIV,341,348
MUL,714,310
SUB,299,120
MUL,192,884
DIV,909,306
SUB,816,407
SUM,447,227
SUB,865,581
POW,664,69
SUM,506,256
POW,98,549
SUB,318,108
SUM,42,289
DIV,753,55
MUL,798,491
MUL,815,130
SUM,636,897
POW,182,176
SUM,503,131
MUL,883,882
DIV,599,565
MUL,17,511
SUM,485,495
POW,622,540
SUB,543,26
SUM,457,674
DIV,345,411
SUB,793,536
DIV,814,930
MUL,289,484
SUB,620,293
SUB,590,252
DIV,289,283
SUM,460,598
SUM,995,762
MUL,951,800
SUB,372,756
SUB,605,898
MUL,195,753
SUB,87,804
DIV,237,58
SUB,352,594
SUB,911,418
SUB,705,561
MUL,16,860
MUL,593,893
POW,563,975
SUM,257,471
SUM,512,611
POW,641,548
MUL,920,463
DIV,843,797
POW,240,929
SUB,624,831
SUB,870,250
MUL,1000,311
SUB,719,972
MUL,177,834
MUL,357,102
DIV,876,736
DIV,713,952
SUB,306,796
MUL,255,322
SUM,715,465
MUL,202,588
DIV,49,851
POW,75,319
SUM,972,829
SUM,554,834
MUL,359,648
SUB,378,764
SUB,268,162
MUL,714,300
SUM,419,484
DIV,817,205
SUM,866,50
DIV,519,696
DIV,657,409
SUM,508,458
